title,author,year
Understanding contraceptive switching rationales from real world clinical notes using large language models.,"['Brenda Y. Miao', 'Christopher Y. K. Williams', 'Ebenezer Chinedu-Eneh', 'Travis Zack', 'Emily Alsentzer', 'Atul J. Butte', 'Irene Y. Chen']",2025
Mitigating the risk of health inequity exacerbated by large language models.,"['Yuelyu Ji', 'Wenhe Ma', 'Sonish Sivarajkumar', 'Hang Zhang', 'Eugene Mathew Sadhu', 'Zhuochun Li', 'Xizhi Wu', 'Shyam Visweswaran', 'Yanshan Wang']",2025
Framework for bias evaluation in large language models in healthcare settings.,"['Tara Templin', 'Sophia Fort', 'Prasanna Padmanabham', 'Pratyush Seshadri', 'Ram Rimal', 'Junier Oliva', 'Kristin Hassmiller Lich', 'Sean Sylvia', 'Nasa Sinnott-Armstrong']",2025
Patient agency and large language models in worldwide encoding of equity.,"['Antonis A. Armoundas', 'Joseph Loscalzo']",2025
Bridging the mentorship divide: how large language models could reshape medical workforce equity.,"['Nghia Phu Nguyen', 'Phillip Tran']",2026
Large language models propagate race-based medicine.,"['Jesutofunmi A. Omiye', 'Jenna C. Lester', 'Simon Spichak', 'Veronica Rotemberg', 'Roxana Daneshjou']",2023
The Impacts of Large Language Model Addiction on University Students' Mental Health: Gender as a Moderator.,"['Ibrahim A. Elshaer', 'Alaa M. S. Azazz']",2025
Evolutionary perspective of large language models on shaping research insights into healthcare disparities.,['David An'],2025
Exposing and Mitigating Calibration Biases and Demographic Unfairness in MLLM Few-Shot In-Context Learning for Medical Image Classification.,"['Xing Shen 0001', 'Justin Szeto', 'Mingyang Li 0007', 'Hengguan Huang', 'Tal Arbel']",2025
Evaluation of Bias Towards Medical Professionals in Large Language Models.,"['Xi Chen', 'Yang Xu', 'Mingke You', 'Li Wang', 'WeiZhi Liu', 'Jian Li']",2024
Adapting Large Language Models to Mitigate Skin Tone Biases in Clinical Dermatology Tasks: A Mixed-Methods Study.,"['Kiran Nijjer', 'Ryan Bui', 'Derek Jiu', 'Adnan Ahmed', 'Peter Wang', 'Kevin Zhu', 'Lilly Zhu']",2025
How Can We Diagnose and Treat Bias in Large Language Models for Clinical Decision-Making?,"['Kenza Benkirane', 'Jackie Kay', 'María Pérez-Ortiz 0001']",2024
